"dateTime","weather","lineNumber","passengersNumber"
"2019-04-20",13,16,2910
"2019-04-20",13,31,1362
"2019-04-20",13,18,1288
"2019-04-20",13,14,2328
"2019-04-20",13,109,51
"2019-04-20",13,28,8257
"2019-04-21",43,102,13
"2019-04-21",43,45,766
"2019-04-21",43,17,1768
"2019-04-21",43,104,63
"2019-04-21",43,14,1473
"2019-04-21",43,101,34
"2019-04-21",43,37,239
"2019-04-21",43,19,893
"2019-04-21",43,9,1875
"2019-04-21",43,38,138
"2019-04-21",43,41,266
"2019-04-21",43,36,442
"2019-04-21",43,103,22
"2019-04-21",43,16,1723
"2019-04-21",43,35,114
"2019-04-21",43,110,41
"2019-04-21",43,6,37
"2019-04-21",43,42,291
"2019-04-21",43,109,12
"2019-04-21",43,29,1326
"2019-04-21",43,31,601
"2019-04-21",43,46,84
"2019-04-21",43,8,1015
"2019-04-21",43,25,1500
"2019-04-21",43,108,22
"2019-04-21",43,5,3608
"2019-04-21",43,106,42
"2019-04-21",43,33,1169
"2019-04-21",43,24,265
"2019-04-21",43,13,5227
"2019-04-21",43,32,216
"2019-04-21",43,18,783
"2019-04-21",43,28,5661
"2019-04-21",43,26,2203
"2019-04-21",43,23,190
"2019-04-21",43,27,267
"2019-04-21",43,21,640
"2019-04-22",13,45,804
"2019-04-22",13,42,328
"2019-04-22",13,16,1533
"2019-04-22",13,46,75
"2019-04-22",13,26,2061
"2019-04-22",13,14,1652
"2019-04-22",13,27,264
"2019-04-22",13,6,21
"2019-04-22",13,9,1865
"2019-04-22",13,41,222
"2019-04-22",13,13,5818
"2019-04-22",13,8,1142
"2019-04-22",13,24,326
"2019-04-22",13,25,1523
"2019-04-22",13,38,129
"2019-04-22",13,32,234
"2019-04-22",13,17,1924
"2019-04-22",13,36,483
"2019-04-22",13,19,1038
"2019-04-22",13,29,1363
"2019-04-22",13,5,3573
"2019-04-22",13,28,5760
"2019-04-22",13,37,333
"2019-04-22",13,35,115
"2019-04-22",13,33,1414
"2019-04-22",13,23,199
"2019-04-22",13,18,916
"2019-04-22",13,31,700
"2019-04-22",13,21,738
"2019-04-23",26,21,1377
"2019-04-23",26,36,1246
"2019-04-23",26,23,664
"2019-04-23",26,17,5462
"2019-04-23",26,38,288
"2019-04-23",26,37,847
"2019-04-23",26,35,439
"2019-04-23",26,13,8434
"2019-04-23",26,6,30
"2019-04-23",26,5,7473
"2019-04-23",26,8,2047
"2019-04-23",26,25,2726
"2019-04-23",26,14,3236
"2019-04-23",26,19,1466
"2019-04-23",26,9,2822
"2019-04-23",26,16,1081
"2019-04-23",26,26,4348
"2019-04-23",26,24,2014
"2019-04-23",26,18,1717
"2019-04-23",26,31,2145
"2019-04-23",26,32,686
"2019-04-23",26,27,1868
"2019-04-23",26,41,766
"2019-04-23",26,43,234
"2019-04-23",26,45,1057
"2019-04-23",26,33,3198
"2019-04-23",26,29,2613
"2019-04-23",26,40,1620
"2019-04-23",26,46,174
"2019-04-23",26,28,10761
"2019-04-23",26,42,364
"2019-04-24",25,41,882
"2019-04-24",25,27,2089
"2019-04-24",25,38,302
"2019-04-24",25,40,1668
"2019-04-24",25,31,2247
"2019-04-24",25,14,3170
"2019-04-24",25,9,3112
"2019-04-24",25,37,868
"2019-04-24",25,32,675
"2019-04-24",25,25,2815
"2019-04-24",25,26,4345
"2019-04-24",25,24,2106
"2019-04-24",25,23,674
"2019-04-24",25,29,2535
"2019-04-24",25,13,9186
"2019-04-24",25,36,1375
"2019-04-24",25,35,522
"2019-04-24",25,16,1349
"2019-04-24",25,8,2064
"2019-04-24",25,17,5764
"2019-04-24",25,6,43
"2019-04-24",25,43,234
"2019-04-24",25,28,11528
"2019-04-24",25,33,3507
"2019-04-24",25,21,1620
"2019-04-24",25,18,1855
"2019-04-24",25,5,8277
"2019-04-24",25,42,352
"2019-04-24",25,19,1434
"2019-04-24",25,46,156
"2019-04-24",25,45,1279
"2019-04-25",43,38,270
"2019-04-25",43,37,860
"2019-04-25",43,32,725
"2019-04-25",43,13,9361
"2019-04-25",43,16,1484
"2019-04-25",43,9,2858
"2019-04-25",43,28,12405
"2019-04-25",43,33,3465
"2019-04-25",43,26,4644
"2019-04-25",43,31,2451
"2019-04-25",43,8,2030
"2019-04-25",43,27,2468
"2019-04-25",43,43,251
"2019-04-25",43,24,2077
"2019-04-25",43,36,1331
"2019-04-25",43,29,2438
"2019-04-25",43,46,173
"2019-04-25",43,41,809
"2019-04-25",43,19,1548
"2019-04-25",43,35,465
"2019-04-25",43,45,1144
"2019-04-25",43,6,64
"2019-04-25",43,18,1823
"2019-04-25",43,40,1616
"2019-04-25",43,14,3290
"2019-04-25",43,42,345
"2019-04-25",43,25,2693
"2019-04-25",43,17,6469
"2019-04-25",43,21,1545
"2019-04-25",43,5,8748
"2019-04-25",43,23,691
"2019-04-26",26,102,22
"2019-04-26",26,110,97
"2019-04-26",26,9,3225
"2019-04-26",26,27,2164
"2019-04-26",26,14,3263
"2019-04-26",26,101,65
"2019-04-26",26,8,2026
"2019-04-26",26,45,1184
"2019-04-26",26,13,9327
"2019-04-26",26,46,165
"2019-04-26",26,103,52
"2019-04-26",26,106,75
"2019-04-26",26,43,227
"2019-04-26",26,26,4645
"2019-04-26",26,42,374
"2019-04-26",26,109,26
"2019-04-26",26,6,35
"2019-04-26",26,104,125
"2019-04-26",26,35,455
"2019-04-26",26,16,1128
"2019-04-26",26,108,49
"2019-04-26",26,18,1847
"2019-04-26",26,25,3015
"2019-04-26",26,21,1374
"2019-04-26",26,17,5826
"2019-04-26",26,5,7671
"2019-04-26",26,31,2281
"2019-04-26",26,41,916
"2019-04-26",26,28,11050
"2019-04-26",26,32,666
"2019-04-26",26,24,2168
"2019-04-26",26,33,3441
"2019-04-26",26,19,1624
"2019-04-26",26,23,629
"2019-04-26",26,29,2524
"2019-04-26",26,40,1543
"2019-04-26",26,38,280
"2019-04-26",26,36,1238
"2019-04-26",26,37,836
"2019-04-27",45,5,6569
"2019-04-27",45,106,294
"2019-04-27",45,108,139
"2019-04-27",45,23,568
"2019-04-27",45,24,1327
"2019-04-27",45,36,758
"2019-04-27",45,103,250
"2019-04-27",45,21,1350
"2019-04-27",45,35,143
"2019-04-27",45,101,412
"2019-04-27",45,33,2700
"2019-04-27",45,14,2352
"2019-04-27",45,102,88
"2019-04-27",45,104,283
"2019-04-27",45,6,21
"2019-04-27",45,45,954
"2019-04-27",45,9,2570
"2019-04-27",45,13,7597
"2019-04-27",45,19,1408
"2019-04-27",45,37,667
"2019-04-27",45,109,102
"2019-04-27",45,8,1844
"2019-04-27",45,110,173
"2019-04-27",45,32,469
"2019-04-27",45,28,7873
"2019-04-27",45,17,2982
"2019-04-27",45,18,1378
"2019-04-27",45,25,2554
"2019-04-27",45,46,163
"2019-04-27",45,26,3817
"2019-04-27",45,29,2027
"2019-04-27",45,16,1153
"2019-04-27",45,42,417
"2019-04-27",45,41,597
"2019-04-27",45,38,225
"2019-04-27",45,27,1247
"2019-04-27",45,31,1511
"2019-04-28",43,13,6341
"2019-04-28",43,14,1880
"2019-04-28",43,16,1035
"2019-04-28",43,25,1473
"2019-04-28",43,38,207
"2019-04-28",43,46,129
"2019-04-28",43,24,415
"2019-04-28",43,42,397
"2019-04-28",43,9,2106
"2019-04-28",43,17,3139
"2019-04-28",43,45,958
"2019-04-28",43,5,4877
"2019-04-28",43,18,970
"2019-04-28",43,23,265
"2019-04-28",43,29,1561
"2019-04-28",43,31,836
"2019-04-28",43,26,2318
"2019-04-28",43,28,7219
"2019-04-28",43,33,1537
"2019-04-28",43,6,15
"2019-04-28",43,19,1087
"2019-04-28",43,8,1272
"2019-04-28",43,41,255
"2019-04-28",43,37,371
"2019-04-28",43,35,178
"2019-04-28",43,36,539
"2019-04-28",43,27,585
"2019-04-28",43,32,260
"2019-04-28",43,21,765
"2019-04-29",12,16,1198
"2019-04-29",12,17,6728
"2019-04-29",12,41,1035
"2019-04-29",12,25,3219
"2019-04-29",12,26,4796
"2019-04-29",12,27,2779
"2019-04-29",12,8,2200
"2019-04-29",12,28,12723
"2019-04-29",12,6,70
"2019-04-29",12,40,2082
"2019-04-29",12,24,2642
"2019-04-29",12,38,325
"2019-04-29",12,13,11370
"2019-04-29",12,5,9139
"2019-04-29",12,23,882
"2019-04-29",12,19,1717
"2019-04-29",12,18,1972
"2019-04-29",12,9,3274
"2019-04-29",12,35,693
"2019-04-29",12,14,4036
"2019-04-29",12,37,942
"2019-04-29",12,29,2967
"2019-04-29",12,32,851
"2019-04-29",12,42,372
"2019-04-29",12,31,2857
"2019-04-29",12,33,4797
"2019-04-29",12,43,327
"2019-04-29",12,45,1632
"2019-04-29",12,36,1379
"2019-04-29",12,21,1437
"2019-04-29",12,46,175
"2019-04-30",12,26,5233
"2019-04-30",12,37,1054
"2019-04-30",12,108,64
"2019-04-30",12,28,13457
"2019-04-30",12,31,3007
"2019-04-30",12,25,3547
"2019-04-30",12,24,2743
"2019-04-30",12,38,286
"2019-04-30",12,35,746
"2019-04-30",12,29,3167
"2019-04-30",12,27,2818
"2019-04-30",12,104,141
"2019-04-30",12,109,23
"2019-04-30",12,33,4858
"2019-04-30",12,103,60
"2019-04-30",12,21,1455
"2019-04-30",12,23,929
"2019-04-30",12,40,2232
"2019-04-30",12,32,907
"2019-04-30",12,43,392
"2019-04-30",12,45,1702
"2019-04-30",12,13,11852
"2019-04-30",12,36,1410
"2019-04-30",12,17,7116
"2019-04-30",12,19,1777
"2019-04-30",12,18,2224
"2019-04-30",12,101,74
"2019-04-30",12,102,31
"2019-04-30",12,42,420
"2019-04-30",12,110,80
"2019-04-30",12,106,84
"2019-04-30",12,6,47
"2019-04-30",12,16,1327
"2019-04-30",12,41,1052
"2019-04-30",12,5,10024
"2019-04-30",12,8,2283
"2019-04-30",12,46,184
"2019-04-30",12,14,4232
"2019-04-30",12,9,3714
"2019-05-01",43,38,190
"2019-05-01",43,36,532
"2019-05-01",43,35,275
"2019-05-01",43,19,1131
"2019-05-01",43,18,942
"2019-05-01",43,9,2076
"2019-05-01",43,21,687
"2019-05-01",43,33,1797
"2019-05-01",43,42,335
"2019-05-01",43,31,790
"2019-05-01",43,46,117
"2019-05-01",43,32,322
"2019-05-01",43,17,2307
"2019-05-01",43,41,293
"2019-05-01",43,45,941
"2019-05-01",43,37,354
"2019-05-01",43,28,6562
"2019-05-01",43,27,328
"2019-05-01",43,26,2292
"2019-05-01",43,16,1503
"2019-05-01",43,14,1756
"2019-05-01",43,24,355
"2019-05-01",43,29,1542
"2019-05-01",43,23,289
"2019-05-01",43,6,45
"2019-05-01",43,8,1250
"2019-05-01",43,5,4172
"2019-05-01",43,13,6365
"2019-05-01",43,25,1797
"2019-05-02",24,8,2333
"2019-05-02",24,46,175
"2019-05-02",24,21,1700
"2019-05-02",24,6,104
"2019-05-02",24,45,1641
"2019-05-02",24,19,1699
"2019-05-02",24,40,2265
"2019-05-02",24,38,326
"2019-05-02",24,5,9777
"2019-05-02",24,43,373
"2019-05-02",24,41,1118
"2019-05-02",24,37,1085
"2019-05-02",24,33,5124
"2019-05-02",24,18,2243
"2019-05-02",24,17,7130
"2019-05-02",24,42,430
"2019-05-02",24,28,13189
"2019-05-02",24,29,2877
"2019-05-02",24,16,1501
"2019-05-02",24,9,3313
"2019-05-02",24,36,1471
"2019-05-02",24,27,2918
"2019-05-02",24,23,846
"2019-05-02",24,35,789
"2019-05-02",24,24,2727
"2019-05-02",24,32,878
"2019-05-02",24,14,4162
"2019-05-02",24,13,11641
"2019-05-02",24,31,3112
"2019-05-02",24,26,5142
"2019-05-02",24,25,3449
"2019-05-03",26,109,57
"2019-05-03",26,27,2823
"2019-05-03",26,110,90
"2019-05-03",26,38,346
"2019-05-03",26,26,5689
"2019-05-03",26,21,1791
"2019-05-03",26,8,2350
"2019-05-03",26,25,3674
"2019-05-03",26,106,103
"2019-05-03",26,9,3675
"2019-05-03",26,16,1275
"2019-05-03",26,5,10603
"2019-05-03",26,13,11662
"2019-05-03",26,108,70
"2019-05-03",26,6,63
"2019-05-03",26,17,7571
"2019-05-03",26,37,986
"2019-05-03",26,28,13292
"2019-05-03",26,46,206
"2019-05-03",26,19,1797
"2019-05-03",26,24,2860
"2019-05-03",26,23,979
"2019-05-03",26,103,69
"2019-05-03",26,40,2280
"2019-05-03",26,14,4229
"2019-05-03",26,104,119
"2019-05-03",26,31,2949
"2019-05-03",26,33,5173
"2019-05-03",26,35,714
"2019-05-03",26,18,2193
"2019-05-03",26,102,47
"2019-05-03",26,43,324
"2019-05-03",26,32,881
"2019-05-03",26,36,1400
"2019-05-03",26,41,1125
"2019-05-03",26,42,425
"2019-05-03",26,29,3105
"2019-05-03",26,101,92
"2019-05-03",26,45,1935
"2019-05-04",24,5,7565
"2019-05-04",24,18,1599
"2019-05-04",24,106,241
"2019-05-04",24,36,953
"2019-05-04",24,19,1513
"2019-05-04",24,108,173
"2019-05-04",24,33,3221
